gender,parent_edu_associate's degree,parent_edu_bachelor's degree,parent_edu_high school,parent_edu_master's degree,parent_edu_some college,parent_edu_some high school,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,lunch_standard,test preparation course_none
1,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,1,1,0
0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,1,0,0,0,1,1
1,0,1,0,0,0,0,0,0,1,0,1,0
0,1,0,0,0,0,0,0,0,1,0,1,1
1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,0,1,0,0,0,0,1,0,1,1
1,1,0,0,0,0,0,0,0,0,1,1,0
0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,1,1,0,0,0,1,1
0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,0,1,0,0,1,1
0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,1,0,0,0,0,0,1,0,0,1,0
1,1,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,0,0,1,1,1
0,0,0,1,0,0,0,1,0,0,0,1,1
1,0,0,0,0,0,1,1,0,0,0,1,1
1,0,0,0,0,1,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,0,0,1,1
1,0,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,1,0,0,1,0
1,0,1,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,1,1,1
0,1,0,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,1,0,0,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,1,1
1,0,0,0,0,1,0,0,0,1,0,1,1
0,0,0,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0,0,1,1,0,0,0,1,1
1,1,0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,1,0,1,0
1,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0
1,0,1,0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,1,0,0,0,0,1
0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,1
0,0,0,0,1,0,0,0,0,0,1,1,1
0,0,1,0,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,1,0,1,1
0,1,0,0,0,0,0,0,1,0,0,1,1
0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,1,0
0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1,1,1
0,1,0,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,1,1
0,1,0,0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,1,0,0,0,1,0,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1
1,0,0,0,0,1,0,0,0,1,0,1,0
0,0,0,0,1,0,0,0,1,0,0,1,0
1,1,0,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,1,0,0,0,1,0,0,1
1,1,0,0,0,0,0,0,1,0,0,1,1
0,1,0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,0,1,0
1,0,1,0,0,0,0,0,0,0,1,1,1
1,0,0,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,1,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,1,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,1,0,1,0
1,1,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,1,0,1,1
0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,0,1,1
1,0,0,1,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0,1,0,0,0,1,0,1,1
1,1,0,0,0,0,0,0,1,0,0,1,1
0,0,1,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,0,1,0,0,0,1,1,1
1,0,1,0,0,0,0,0,1,0,0,1,0
1,1,0,0,0,0,0,0,0,1,0,1,1
1,0,1,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0,0,0,1,1
1,1,0,0,0,0,0,0,1,0,0,1,1
1,0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,1,1,1
0,0,0,1,0,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,1,1
1,0,0,0,0,0,1,0,0,1,0,1,1
1,1,0,0,0,0,0,0,1,0,0,1,1
1,1,0,0,0,0,0,0,0,0,1,1,1
0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,1,0,0,0,1,1
1,0,0,1,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0,0,0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,1,1
1,0,0,1,0,0,0,0,0,1,0,1,1
0,0,0,0,0,1,0,0,0,0,1,1,1
0,1,0,0,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,1,0,1,0,0,0,1,1
0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1,1,1
1,0,0,1,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,1
0,0,1,0,0,0,0,0,1,0,0,1,1
0,0,0,1,0,0,0,0,0,1,0,1,1
0,1,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,1,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,1,0,0,1,0,0,1,1
0,1,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,1,0,0,0,1,0
1,0,1,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,0,1,0,0,0,1
1,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,0,1,1
1,0,0,1,0,0,0,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,1
1,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1
1,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,1,1,0
1,1,0,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,1,1
1,0,0,1,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,1
0,1,0,0,0,0,0,0,1,0,0,1,0
1,1,0,0,0,0,0,1,0,0,0,1,1
0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,1
1,0,0,0,0,1,0,0,0,0,1,1,0
1,0,0,0,0,0,1,0,1,0,0,1,1
0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,1,0,0,0,1,1
1,0,1,0,0,0,0,1,0,0,0,1,1
1,0,1,0,0,0,0,0,0,1,0,1,0
0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,1,1
0,0,0,0,1,0,0,0,0,1,0,1,0
1,1,0,0,0,0,0,0,1,0,0,1,1
1,0,1,0,0,0,0,1,0,0,0,1,1
0,1,0,0,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1
1,0,0,1,0,0,0,0,1,0,0,1,1
1,1,0,0,0,0,0,0,1,0,0,1,1
1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,1,0,1,0
1,1,0,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,1,1
0,0,0,1,0,0,0,1,0,0,0,1,0
1,1,0,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,0,1,0,1,1
0,0,0,1,0,0,0,0,1,0,0,1,1
1,0,0,0,0,1,0,1,0,0,0,1,1
0,0,1,0,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,0,0,0,1,1,1
0,0,1,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,1,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,1,0,0,0,0,1,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,1,0,1,1
0,0,0,1,0,0,0,1,0,0,0,1,1
1,0,0,0,0,0,1,1,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,1,0
1,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,1,0,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,0,1,1
1,1,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,0,0,1,1
1,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1,1,1
0,0,1,0,0,0,0,0,0,0,1,1,1
0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,1,1
1,0,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,1,1
1,1,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,1,0,0,0,1,1
1,0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,1,0,1,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,1,0,0,1,1
1,1,0,0,0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,1,0,0,0,1,1
0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,1,1
1,0,1,0,0,0,0,0,1,0,0,1,0
1,1,0,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,1,0,0,0,1,0,1,1
1,0,0,1,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,1,0,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,1
1,0,1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,1,0,1,0,0,0,1
1,1,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,1,1
1,0,0,1,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,1,0,1,1
1,1,0,0,0,0,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,0,1,0
0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1,0
1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,0,1,1
1,1,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,1,1
0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,1,0,1,1
1,1,0,0,0,0,0,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,1,1,1
1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,0,0,1
1,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0,1,1
0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,1,1
0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,0,1,0,0,0,0,1,0,0,1,1
0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,1,0,1,1
0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,1,0
1,0,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,1,0,1,1
0,0,0,0,1,0,0,0,0,1,0,1,1
1,1,0,0,0,0,0,0,0,0,1,1,1
1,0,0,1,0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,0,0,1,1
1,0,0,1,0,0,0,0,1,0,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,1,1,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,1,0,0,0,0,0,1,0,0,1,1
0,0,0,1,0,0,0,1,0,0,0,1,1
1,0,0,1,0,0,0,0,0,1,0,1,0
0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,1
1,0,0,0,0,1,0,0,0,0,1,1,1
0,0,0,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,1,0,0,0,1,1
1,0,0,1,0,0,0,0,0,0,0,1,1
1,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0,0,1,1
0,0,1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,0,1,1,0,0,0,1,0
0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,1,0
0,0,0,0,0,1,0,0,0,1,0,1,1
0,0,0,0,0,1,0,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,0,1,0
0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,1,0,1,1
0,1,0,0,0,0,0,0,1,0,0,1,1
1,0,1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,0,0,0,1,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,1
