superficie,nombre_chambres,douche_wc,type_d_acces,meuble,etat_general,quartier_Ambatoroka,quartier_Analakely,quartier_Andavamamba,quartier_Ankatso,quartier_Ankorondrano,quartier_Isoraka,quartier_Itaosy,quartier_Ivandry,quartier_Mahamasina,score_confort
34,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2
29,1,1,15,0,5,0,0,0,0,0,0,1,0,0,2
89,3,1,5,1,10,0,0,0,1,0,0,0,0,0,3
44,2,1,10,0,5,0,0,0,0,0,0,0,0,1,2
15,5,0,15,0,5,0,0,0,0,1,0,0,0,0,1
38,2,0,10,1,10,0,0,0,0,0,0,0,0,0,3
82,1,1,5,1,5,0,0,0,0,0,0,0,0,1,2
38,1,1,10,1,0,0,1,0,0,0,0,0,0,0,3
50,2,1,5,0,10,0,1,0,0,0,0,0,0,0,2
74,1,1,5,0,5,0,0,0,0,0,1,0,0,0,1
76,1,1,5,1,5,0,0,1,0,0,0,0,0,0,2
43,2,1,10,0,10,0,0,1,0,0,0,0,0,0,3
72,1,0,5,0,5,0,0,0,0,0,0,0,1,0,0
58,1,0,0,1,10,0,0,0,0,0,0,1,0,0,2
57,1,0,5,0,5,0,1,0,0,0,0,0,0,0,0
81,1,1,15,0,10,0,0,0,1,0,0,0,0,0,3
15,1,1,10,0,10,0,0,0,0,0,1,0,0,0,3
77,2,0,5,0,5,0,0,0,1,0,0,0,0,0,0
76,3,1,0,0,5,0,0,0,1,0,0,0,0,0,1
96,2,1,5,0,10,0,0,1,0,0,0,0,0,0,2
82,1,1,15,1,10,0,0,0,0,0,0,0,0,1,4
100,3,0,10,1,10,0,0,0,0,0,0,0,0,1,3
51,2,1,5,0,5,0,0,0,0,0,0,1,0,0,1
62,1,1,15,1,5,1,0,0,0,0,0,0,0,0,3
62,1,0,5,0,5,0,0,0,1,0,0,0,0,0,0
98,2,1,15,0,5,0,0,0,0,0,0,0,0,0,2
76,4,1,10,0,10,0,0,1,0,0,0,0,0,0,3
29,1,0,10,0,5,0,0,0,1,0,0,0,0,0,1
27,3,1,10,1,10,0,0,0,1,0,0,0,0,0,4
24,1,0,10,0,5,1,0,0,0,0,0,0,0,0,1
137,2,1,10,1,10,0,0,0,0,0,0,0,1,0,4
101,1,1,15,1,5,0,0,0,0,0,0,0,1,0,3
47,2,0,10,0,5,0,0,0,0,0,0,1,0,0,1
15,2,1,15,0,5,0,0,0,0,0,1,0,0,0,2
42,2,1,5,0,0,0,0,0,0,0,0,0,0,0,1
57,1,1,15,0,10,0,0,0,0,0,0,1,0,0,3
37,2,1,10,0,10,0,0,0,0,1,0,0,0,0,3
22,2,0,10,0,0,0,0,0,0,0,1,0,0,0,1
53,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1
57,2,1,5,0,5,0,0,0,0,0,1,0,0,0,1
21,2,1,5,0,10,0,0,0,1,0,0,0,0,0,2
63,1,0,5,0,5,0,0,0,0,0,0,1,0,0,0
57,2,1,15,0,5,0,0,0,0,1,0,0,0,0,2
53,1,1,5,0,10,0,0,0,0,0,0,0,1,0,2
58,2,0,10,0,5,0,0,0,1,0,0,0,0,0,1
84,3,0,10,0,5,0,0,0,0,0,0,0,1,0,1
84,1,1,10,0,5,0,0,0,0,0,0,1,0,0,2
15,1,1,0,0,5,1,0,0,0,0,0,0,0,0,1
60,3,1,15,0,0,0,0,0,0,1,0,0,0,0,2
30,3,0,10,0,10,0,0,0,0,0,0,0,1,0,2
82,2,1,15,0,10,0,0,1,0,0,0,0,0,0,3
24,2,1,5,0,5,0,1,0,0,0,0,0,0,0,1
39,2,1,5,0,5,0,1,0,0,0,0,0,0,0,1
61,1,1,10,1,0,0,0,0,0,1,0,0,0,0,3
94,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1
69,3,1,5,0,0,0,0,0,0,0,0,0,0,1,1
28,1,0,5,0,10,0,0,0,0,0,0,1,0,0,1
66,1,1,5,0,10,0,0,0,0,0,0,0,1,0,2
90,3,1,5,0,5,0,0,0,0,0,1,0,0,0,1
59,3,1,10,0,10,0,1,0,0,0,0,0,0,0,3
74,3,1,0,1,0,0,0,0,0,0,0,1,0,0,2
34,1,1,0,0,10,0,0,0,0,0,0,0,0,1,2
75,1,1,5,0,10,0,0,0,0,0,1,0,0,0,2
46,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1
51,1,1,15,1,10,0,0,0,0,0,0,0,0,0,4
69,1,0,15,0,5,0,0,1,0,0,0,0,0,0,1
54,1,0,15,0,5,0,0,0,0,0,1,0,0,0,1
49,1,1,10,0,10,0,0,0,1,0,0,0,0,0,3
69,4,0,10,0,0,0,0,0,0,1,0,0,0,0,1
57,2,1,5,1,5,0,1,0,0,0,0,0,0,0,2
77,2,1,10,0,5,0,0,0,0,0,1,0,0,0,2
83,1,1,0,1,10,0,1,0,0,0,0,0,0,0,3
66,1,0,15,1,0,0,0,0,0,0,0,0,1,0,2
91,1,1,10,0,5,0,1,0,0,0,0,0,0,0,2
29,1,1,10,1,10,0,0,0,0,0,0,0,0,0,4
98,1,1,10,0,10,0,0,0,0,0,0,0,1,0,3
102,1,1,10,0,10,0,0,0,0,0,0,0,1,0,3
57,1,1,5,0,10,0,0,1,0,0,0,0,0,0,2
21,3,0,10,1,10,0,0,1,0,0,0,0,0,0,3
49,1,0,5,0,10,1,0,0,0,0,0,0,0,0,1
78,1,0,10,0,10,0,0,0,0,0,0,0,1,0,2
41,1,1,15,1,0,0,0,0,0,0,0,0,0,0,3
59,3,1,10,1,0,0,0,0,0,0,1,0,0,0,3
56,2,1,0,1,5,0,0,0,0,0,1,0,0,0,2
26,1,1,10,0,10,0,1,0,0,0,0,0,0,0,3
77,2,1,5,1,5,0,0,0,0,1,0,0,0,0,2
71,4,1,15,0,10,0,0,0,0,0,0,0,0,0,3
66,2,1,5,1,10,0,0,0,0,0,1,0,0,0,3
45,1,1,10,0,0,0,0,0,1,0,0,0,0,0,2
51,2,1,15,0,5,0,1,0,0,0,0,0,0,0,2
113,2,1,15,0,5,0,0,0,0,0,0,0,0,0,2
40,2,1,15,1,5,0,0,0,0,0,0,0,0,0,3
35,1,0,10,0,10,0,0,0,0,0,0,1,0,0,2
65,2,1,5,0,0,0,0,0,0,0,1,0,0,0,1
66,2,1,5,0,5,0,0,0,0,0,0,1,0,0,1
83,2,0,0,0,10,0,0,0,0,0,0,0,0,0,1
79,3,0,15,0,5,0,0,0,1,0,0,0,0,0,1
36,2,1,5,0,5,0,0,0,0,0,0,0,1,0,1
49,1,1,15,0,5,0,0,0,0,0,1,0,0,0,2
52,4,1,15,1,5,0,0,0,0,0,0,0,1,0,3
35,2,1,10,0,10,1,0,0,0,0,0,0,0,0,3
92,2,1,5,1,5,0,0,0,0,0,0,0,1,0,2
64,2,1,10,0,10,0,0,0,0,0,0,0,0,0,3
52,4,1,5,0,10,0,0,1,0,0,0,0,0,0,2
102,3,1,15,0,10,1,0,0,0,0,0,0,0,0,3
73,1,0,10,0,10,0,0,0,0,0,1,0,0,0,2
62,2,1,0,1,10,0,0,0,0,0,0,0,1,0,3
55,2,1,5,0,10,0,0,0,0,0,0,0,0,0,2
89,1,1,5,0,10,0,0,0,0,0,0,0,0,1,2
110,1,1,15,1,5,0,0,0,0,0,1,0,0,0,3
88,1,0,10,0,0,0,0,0,0,0,0,0,1,0,1
42,1,0,10,0,10,0,0,0,0,0,1,0,0,0,2
44,3,1,10,0,0,0,0,0,1,0,0,0,0,0,2
25,2,1,5,0,10,0,0,0,0,0,0,0,0,0,2
48,4,1,10,0,10,0,0,0,0,0,1,0,0,0,3
61,1,0,10,0,5,0,0,0,0,1,0,0,0,0,1
68,1,1,5,0,5,0,0,0,0,0,0,1,0,0,1
99,2,0,10,0,10,0,0,0,1,0,0,0,0,0,2
15,1,1,10,1,10,0,0,0,0,0,0,0,1,0,4
41,4,0,5,0,5,0,0,0,0,0,0,0,0,0,0
110,1,1,10,0,0,0,0,0,0,1,0,0,0,0,2
27,2,1,15,0,5,1,0,0,0,0,0,0,0,0,2
38,3,0,10,1,5,0,0,0,0,0,0,0,0,1,2
40,3,0,0,0,10,0,1,0,0,0,0,0,0,0,1
64,3,1,5,0,5,0,0,0,0,0,0,0,0,0,1
44,2,1,5,1,10,0,0,0,1,0,0,0,0,0,3
45,1,1,10,0,5,1,0,0,0,0,0,0,0,0,2
91,2,1,0,0,10,0,0,0,0,0,1,0,0,0,2
48,2,1,15,1,5,0,1,0,0,0,0,0,0,0,3
26,1,1,0,0,10,0,0,0,0,0,0,0,1,0,2
78,2,1,5,0,5,0,0,0,0,0,0,0,1,0,1
63,1,1,5,0,5,0,0,0,0,0,0,1,0,0,1
58,1,1,15,1,5,0,0,0,0,0,0,0,1,0,3
72,3,1,10,0,10,0,0,1,0,0,0,0,0,0,3
69,4,1,5,1,10,0,0,0,0,0,0,1,0,0,3
19,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1
57,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,1,1,10,0,10,0,0,0,0,0,1,0,0,0,3
76,4,1,5,0,5,0,1,0,0,0,0,0,0,0,1
65,3,1,10,1,5,0,0,0,0,0,0,0,0,1,3
53,1,1,15,0,5,0,0,0,0,0,0,0,1,0,2
62,2,0,5,0,10,0,0,0,0,0,0,0,0,1,1
45,4,1,10,0,5,1,0,0,0,0,0,0,0,0,2
67,3,1,10,1,0,1,0,0,0,0,0,0,0,0,3
45,3,0,10,0,5,0,0,0,0,0,0,0,0,0,1
45,3,0,10,1,5,1,0,0,0,0,0,0,0,0,2
47,2,1,0,0,5,1,0,0,0,0,0,0,0,0,1
37,1,1,10,1,10,0,0,0,0,0,0,0,1,0,4
64,2,1,5,0,10,0,0,0,0,0,0,0,0,0,2
65,1,1,10,0,5,0,0,0,0,0,0,0,0,0,2
73,3,1,10,1,10,0,0,0,0,0,0,1,0,0,4
22,3,1,10,0,10,0,0,0,0,0,0,1,0,0,3
66,3,1,5,0,5,0,0,0,0,0,1,0,0,0,1
65,1,1,10,0,10,0,0,0,0,1,0,0,0,0,3
35,1,1,10,0,10,0,0,1,0,0,0,0,0,0,3
42,3,1,10,1,10,1,0,0,0,0,0,0,0,0,4
48,2,1,15,0,10,0,0,0,1,0,0,0,0,0,3
50,1,1,10,1,5,0,0,0,0,1,0,0,0,0,3
57,2,0,10,0,0,0,0,0,0,0,1,0,0,0,1
22,1,1,10,0,5,0,0,0,0,0,0,0,0,1,2
86,1,1,5,0,5,0,1,0,0,0,0,0,0,0,1
47,3,1,10,0,10,0,0,0,0,0,0,0,1,0,3
77,3,1,5,0,10,0,1,0,0,0,0,0,0,0,2
71,4,1,15,0,5,0,0,0,0,0,1,0,0,0,2
67,1,1,10,1,0,0,0,0,0,0,0,0,0,1,3
59,2,1,5,1,5,0,0,0,0,0,0,0,1,0,2
94,1,0,10,0,5,0,0,0,0,0,0,0,0,0,1
69,2,0,10,0,0,0,1,0,0,0,0,0,0,0,1
32,1,1,15,1,5,0,1,0,0,0,0,0,0,0,3
71,3,1,5,0,10,0,0,0,0,0,1,0,0,0,2
56,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2
72,2,1,10,1,10,1,0,0,0,0,0,0,0,0,4
71,1,1,10,0,10,0,0,0,0,0,0,0,0,1,3
68,2,1,0,0,10,0,0,0,1,0,0,0,0,0,2
81,1,0,10,0,10,0,0,0,1,0,0,0,0,0,2
56,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
105,3,1,10,1,5,0,0,0,0,1,0,0,0,0,3
72,1,0,10,0,10,0,0,0,0,0,0,0,0,1,2
68,1,1,10,0,10,0,0,0,1,0,0,0,0,0,3
60,1,0,0,1,5,0,0,0,0,0,0,0,0,1,1
26,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
56,2,1,10,0,10,0,0,0,0,0,0,1,0,0,3
73,1,1,5,1,5,0,0,1,0,0,0,0,0,0,2
49,2,0,10,0,10,0,0,0,0,0,1,0,0,0,2
91,2,1,15,1,5,0,0,0,1,0,0,0,0,0,3
44,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0
76,2,1,10,0,10,0,0,0,1,0,0,0,0,0,3
109,1,1,0,1,5,1,0,0,0,0,0,0,0,0,2
32,2,0,15,0,0,0,0,0,0,0,1,0,0,0,1
53,2,0,10,0,10,0,0,0,0,0,0,0,1,0,2
70,2,1,0,0,5,1,0,0,0,0,0,0,0,0,1
45,3,1,10,0,5,0,0,0,0,0,1,0,0,0,2
64,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0
97,2,1,10,1,5,0,0,0,0,0,0,0,0,1,3
73,2,1,5,1,10,0,0,0,0,0,0,0,1,0,3
35,1,0,10,0,10,0,0,0,0,1,0,0,0,0,2
75,1,1,10,0,5,1,0,0,0,0,0,0,0,0,2
56,3,1,15,0,5,0,0,0,1,0,0,0,0,0,2
67,3,1,10,0,0,0,0,0,0,0,0,0,0,1,2
58,1,1,5,0,10,1,0,0,0,0,0,0,0,0,2
20,2,1,10,1,5,0,0,0,0,0,0,1,0,0,3
60,3,0,5,1,10,0,0,1,0,0,0,0,0,0,2
65,1,0,10,1,10,1,0,0,0,0,0,0,0,0,3
54,1,1,15,1,10,0,0,0,0,1,0,0,0,0,4
147,1,1,10,1,10,0,1,0,0,0,0,0,0,0,4
43,3,1,10,0,5,0,0,0,0,1,0,0,0,0,2
72,2,1,15,1,5,0,0,0,1,0,0,0,0,0,3
23,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0
52,3,0,15,0,5,0,0,1,0,0,0,0,0,0,1
40,1,1,5,1,0,0,1,0,0,0,0,0,0,0,2
91,1,0,5,0,5,1,0,0,0,0,0,0,0,0,0
70,1,1,15,0,5,0,0,0,0,0,0,0,0,0,2
43,2,0,5,0,10,0,0,0,0,0,0,0,0,0,1
31,1,1,5,0,5,0,0,0,0,0,0,0,0,0,1
79,1,0,15,0,10,0,0,0,0,0,0,0,0,0,2
84,4,1,10,0,0,0,0,1,0,0,0,0,0,0,2
15,1,0,10,1,5,0,0,0,0,1,0,0,0,0,2
84,2,0,10,0,10,0,1,0,0,0,0,0,0,0,2
49,3,1,0,1,10,1,0,0,0,0,0,0,0,0,3
71,3,1,15,0,10,1,0,0,0,0,0,0,0,0,3
77,3,1,0,0,10,0,0,0,0,0,0,0,1,0,2
51,2,1,10,0,10,0,1,0,0,0,0,0,0,0,3
72,1,1,5,1,0,0,0,0,0,0,0,1,0,0,2
38,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1
61,1,1,5,0,5,0,0,0,1,0,0,0,0,0,1
38,1,1,5,1,10,0,0,0,0,0,1,0,0,0,3
46,2,0,10,0,0,0,0,0,0,0,0,0,1,0,1
55,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0
26,2,1,0,0,5,0,0,0,0,1,0,0,0,0,1
94,2,1,0,1,0,0,0,0,0,0,0,1,0,0,2
64,1,1,10,1,10,0,0,0,0,0,0,0,0,0,4
85,1,1,15,0,10,0,0,0,0,0,0,0,0,1,3
27,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0
56,2,1,10,0,10,1,0,0,0,0,0,0,0,0,3
39,2,1,10,0,10,0,0,0,0,1,0,0,0,0,3
67,3,1,10,0,5,0,0,0,0,0,0,0,1,0,2
36,2,1,15,1,0,0,0,0,0,1,0,0,0,0,3
53,1,1,10,0,10,0,0,0,0,0,1,0,0,0,3
70,2,0,15,0,10,0,0,1,0,0,0,0,0,0,2
77,1,1,10,0,0,0,0,0,0,0,0,1,0,0,2
67,2,0,10,0,10,1,0,0,0,0,0,0,0,0,2
102,1,0,10,0,5,0,0,0,0,0,0,0,1,0,1
42,2,1,15,1,5,0,0,0,0,1,0,0,0,0,3
34,3,0,10,0,5,1,0,0,0,0,0,0,0,0,1
51,1,1,5,0,5,0,1,0,0,0,0,0,0,0,1
26,2,1,15,0,5,0,0,0,0,0,0,0,1,0,2
77,2,0,5,0,5,1,0,0,0,0,0,0,0,0,0
60,2,1,10,0,10,0,0,0,0,0,0,0,0,1,3
71,1,1,10,1,10,0,0,0,0,0,0,0,0,0,4
82,2,1,10,0,0,0,0,0,1,0,0,0,0,0,2
40,1,1,10,0,10,0,0,0,0,1,0,0,0,0,3
45,3,1,15,0,5,0,1,0,0,0,0,0,0,0,2
106,2,1,5,0,10,1,0,0,0,0,0,0,0,0,2
83,2,1,15,0,10,1,0,0,0,0,0,0,0,0,3
56,2,1,10,1,5,0,0,0,0,1,0,0,0,0,3
40,2,0,10,0,5,0,0,0,0,0,1,0,0,0,1
53,2,1,5,0,5,0,0,0,0,0,0,0,0,0,1
90,2,1,0,1,10,0,1,0,0,0,0,0,0,0,3
53,3,1,15,1,5,0,0,0,0,0,0,1,0,0,3
43,1,1,5,0,10,0,0,0,0,0,0,0,0,1,2
104,1,1,10,1,10,0,0,0,0,0,0,0,1,0,4
112,2,1,10,0,5,0,0,0,1,0,0,0,0,0,2
88,2,1,5,0,10,0,0,1,0,0,0,0,0,0,2
92,2,0,10,0,0,0,0,0,0,0,0,0,0,1,1
99,2,1,10,0,10,0,0,0,0,0,1,0,0,0,3
68,3,1,5,1,5,0,0,0,1,0,0,0,0,0,2
72,3,0,5,0,10,0,1,0,0,0,0,0,0,0,1
73,3,1,5,0,5,1,0,0,0,0,0,0,0,0,1
86,2,0,10,1,10,0,0,0,0,1,0,0,0,0,3
95,2,1,10,0,0,0,0,0,0,0,0,1,0,0,2
76,1,0,15,0,10,0,0,0,0,0,0,1,0,0,2
63,2,1,10,0,10,0,0,0,0,0,0,0,1,0,3
52,3,1,5,0,10,1,0,0,0,0,0,0,0,0,2
87,2,1,10,0,5,0,0,1,0,0,0,0,0,0,2
64,1,1,10,1,5,0,0,0,0,0,0,0,0,0,3
64,2,1,15,0,5,0,0,0,1,0,0,0,0,0,2
77,2,1,15,0,10,1,0,0,0,0,0,0,0,0,3
76,3,1,5,1,5,0,0,1,0,0,0,0,0,0,2
26,1,1,10,0,0,0,0,0,0,0,0,0,1,0,2
49,3,0,15,0,5,1,0,0,0,0,0,0,0,0,1
89,2,1,0,0,10,0,0,0,0,0,0,1,0,0,2
78,2,1,5,0,5,0,0,0,0,0,0,1,0,0,1
75,1,1,15,0,10,0,0,0,0,0,0,1,0,0,3
80,2,0,5,0,10,0,0,1,0,0,0,0,0,0,1
78,2,1,10,0,10,1,0,0,0,0,0,0,0,0,3
28,1,1,5,0,5,0,0,0,1,0,0,0,0,0,1
49,1,1,5,1,5,0,0,0,0,0,0,1,0,0,2
27,2,1,5,0,10,0,0,0,0,0,0,0,1,0,2
81,3,1,10,0,10,0,0,1,0,0,0,0,0,0,3
57,1,0,0,0,10,1,0,0,0,0,0,0,0,0,1
105,3,0,15,0,5,0,0,0,0,0,0,0,0,0,1
81,3,1,10,0,10,0,0,0,0,0,1,0,0,0,3
52,2,1,10,0,0,0,1,0,0,0,0,0,0,0,2
61,1,0,15,0,10,0,0,0,0,1,0,0,0,0,2
54,2,0,10,0,0,0,0,0,0,0,0,0,0,1,1
106,1,1,10,0,10,0,0,1,0,0,0,0,0,0,3
72,3,1,15,1,10,1,0,0,0,0,0,0,0,0,4
116,2,1,0,0,10,0,0,0,0,0,0,0,0,1,2
15,1,1,10,0,10,0,0,0,0,0,0,0,1,0,3
43,2,1,10,0,5,0,0,0,0,1,0,0,0,0,2
108,1,0,10,0,5,0,0,0,0,0,0,0,0,1,1
