quartier,superficie,nombre_chambres,douche_wc,type_d_acces,meuble,etat_general,loyer_mensuel
Ivandry,44,3,interieur,sans,oui,moyen,2377000
Ivandry,47,2,interieur,moto,oui,bon,2855000
Ivandry,71,3,interieur,voiture,non,mauvais,2410000
Ambatoroka,15,1,exterieur,moto,non,bon,522000
Isoraka,54,2,interieur,voiture,oui,moyen,2327000
Itaosy,32,4,interieur,voiture,oui,mauvais,916000
Ambatoroka,59,1,interieur,sans,non,bon,722000
Ankatso,87,3,interieur,moto,oui,moyen,1405000
Ankorondrano,80,1,interieur,sans,oui,moyen,2532000
Andavamamba,60,1,interieur,voiture,non,moyen,665000
Analakely,29,2,interieur,moto,non,mauvais,723000
Isoraka,88,1,interieur,moto,non,moyen,1996000
Isoraka,18,3,exterieur,voiture_avec_parking,non,bon,1886000
Ivandry,16,1,interieur,voiture,oui,mauvais,1817000
Mahamasina,51,2,interieur,voiture_avec_parking,non,bon,1656000
Alasora,15,4,interieur,moto,non,mauvais,799000
Ankorondrano,67,2,interieur,voiture_avec_parking,non,moyen,2598000
Isoraka,59,3,interieur,sans,oui,mauvais,2042000
Mahamasina,37,3,interieur,voiture,non,moyen,1208000
Ankatso,47,2,interieur,voiture,oui,bon,1170000
Itaosy,80,2,interieur,voiture,non,bon,978000
Ivandry,56,2,exterieur,voiture_avec_parking,oui,moyen,2976000
Ankatso,59,3,interieur,voiture,oui,moyen,1345000
Mahamasina,84,1,interieur,voiture_avec_parking,oui,mauvais,1782000
Andavamamba,38,2,exterieur,voiture,non,moyen,630000
Itaosy,94,2,interieur,voiture_avec_parking,non,bon,1215000
Ankorondrano,28,4,interieur,moto,non,bon,1966000
Ankatso,35,3,interieur,voiture,non,moyen,624000
Ankatso,61,3,interieur,voiture,non,moyen,1263000
Ankatso,72,1,exterieur,voiture,non,mauvais,865000
Andavamamba,49,1,exterieur,sans,oui,bon,934000
Alasora,43,1,interieur,voiture,oui,bon,1639000
Itaosy,34,1,interieur,sans,oui,mauvais,407000
Itaosy,29,1,interieur,voiture_avec_parking,non,moyen,801000
Ankatso,89,3,interieur,moto,oui,bon,1590000
Mahamasina,44,2,interieur,voiture,non,moyen,1170000
Ankorondrano,15,5,exterieur,voiture_avec_parking,non,moyen,1768000
Alasora,38,2,exterieur,voiture,oui,bon,1390000
Mahamasina,82,1,interieur,moto,oui,moyen,1181000
Analakely,38,1,interieur,voiture,oui,mauvais,1332000
Analakely,50,2,interieur,moto,non,bon,1255000
Isoraka,74,1,interieur,moto,non,moyen,1790000
Andavamamba,76,1,interieur,moto,oui,moyen,878000
Andavamamba,43,2,interieur,voiture,non,bon,765000
Ivandry,72,1,exterieur,moto,non,moyen,1913000
Itaosy,58,1,exterieur,sans,oui,bon,900000
Analakely,57,1,exterieur,moto,non,moyen,943000
Ankatso,81,1,interieur,voiture_avec_parking,non,bon,1424000
Isoraka,15,1,interieur,voiture,non,bon,1395000
Ankatso,77,2,exterieur,moto,non,moyen,1021000
Ankatso,76,3,interieur,sans,non,moyen,1022000
Andavamamba,96,2,interieur,moto,non,bon,943000
Mahamasina,82,1,interieur,voiture_avec_parking,oui,bon,1860000
Mahamasina,100,3,exterieur,voiture,oui,bon,1893000
Itaosy,51,2,interieur,moto,non,moyen,819000
Ambatoroka,62,1,interieur,voiture_avec_parking,oui,moyen,1555000
Ankatso,62,1,exterieur,moto,non,moyen,860000
Alasora,98,2,interieur,voiture_avec_parking,non,moyen,1970000
Andavamamba,76,4,interieur,voiture,non,bon,1061000
Ankatso,29,1,exterieur,voiture,non,moyen,520000
Ankatso,27,3,interieur,voiture,oui,bon,1109000
Ambatoroka,24,1,exterieur,voiture,non,moyen,618000
Ivandry,137,2,interieur,voiture,oui,bon,4938000
Ivandry,101,1,interieur,voiture_avec_parking,oui,moyen,3928000
Itaosy,47,2,exterieur,voiture,non,moyen,719000
Isoraka,15,2,interieur,voiture_avec_parking,non,moyen,1663000
Alasora,42,2,interieur,moto,non,mauvais,839000
Itaosy,57,1,interieur,voiture_avec_parking,non,bon,985000
Ankorondrano,37,2,interieur,voiture,non,bon,1949000
Isoraka,22,2,exterieur,voiture,non,mauvais,739000
Mahamasina,53,2,interieur,sans,non,mauvais,866000
Isoraka,57,2,interieur,moto,non,moyen,1653000
Ankatso,21,2,interieur,moto,non,bon,698000
Itaosy,63,1,exterieur,moto,non,moyen,826000
Ankorondrano,57,2,interieur,voiture_avec_parking,non,moyen,2504000
Ivandry,53,1,interieur,moto,non,bon,2210000
Ankatso,58,2,exterieur,voiture,non,moyen,853000
Ivandry,84,3,exterieur,voiture,non,moyen,2880000
Itaosy,84,1,interieur,voiture,non,moyen,1076000
Ambatoroka,15,1,interieur,sans,non,moyen,316000
Ankorondrano,60,3,interieur,voiture_avec_parking,non,mauvais,2448000
Ivandry,30,3,exterieur,voiture,non,bon,2097000
Andavamamba,82,2,interieur,voiture_avec_parking,non,bon,1110000
Analakely,24,2,interieur,moto,non,moyen,780000
Analakely,39,2,interieur,moto,non,moyen,946000
Ankorondrano,61,1,interieur,voiture,oui,mauvais,2364000
Ivandry,94,2,interieur,sans,non,mauvais,2520000
Mahamasina,69,3,interieur,moto,non,mauvais,1161000
Itaosy,28,1,exterieur,moto,non,bon,445000
Ivandry,66,1,interieur,moto,non,bon,2305000
Isoraka,90,3,interieur,moto,non,moyen,2440000
Analakely,59,3,interieur,voiture,non,bon,1787000
Itaosy,74,3,interieur,sans,oui,mauvais,944000
Mahamasina,34,1,interieur,sans,non,bon,792000
Isoraka,75,1,interieur,moto,non,bon,2102000
Mahamasina,46,3,interieur,sans,non,mauvais,856000
Alasora,51,1,interieur,voiture_avec_parking,oui,bon,1785000
Andavamamba,69,1,exterieur,voiture_avec_parking,non,moyen,777000
Isoraka,54,1,exterieur,voiture_avec_parking,non,moyen,1803000
Ankatso,49,1,interieur,voiture,non,bon,848000
Ankorondrano,69,4,exterieur,voiture,non,mauvais,2209000
Analakely,57,2,interieur,moto,oui,moyen,1757000
Isoraka,77,2,interieur,voiture,non,moyen,2227000
Analakely,83,1,interieur,sans,oui,bon,1828000
Ivandry,66,1,exterieur,voiture_avec_parking,oui,mauvais,2588000
Analakely,91,1,interieur,voiture,non,moyen,1727000
Alasora,29,1,interieur,voiture,oui,bon,1442000
Ivandry,98,1,interieur,voiture,non,bon,3387000
Ivandry,102,1,interieur,voiture,non,bon,3421000
Andavamamba,57,1,interieur,moto,non,bon,476000
Andavamamba,21,3,exterieur,voiture,oui,bon,758000
Ambatoroka,49,1,exterieur,moto,non,bon,1006000
Ivandry,78,1,exterieur,voiture,non,bon,2671000
Alasora,41,1,interieur,voiture_avec_parking,oui,mauvais,1531000
Isoraka,59,3,interieur,voiture,oui,mauvais,2433000
Isoraka,56,2,interieur,sans,oui,moyen,2196000
Analakely,26,1,interieur,voiture,non,bon,1217000
Ankorondrano,77,2,interieur,moto,oui,moyen,2904000
Alasora,71,4,interieur,voiture_avec_parking,non,bon,1996000
Isoraka,66,2,interieur,moto,oui,bon,2638000
Ankatso,45,1,interieur,voiture,non,mauvais,645000
Analakely,51,2,interieur,voiture_avec_parking,non,moyen,1619000
Alasora,113,2,interieur,voiture_avec_parking,non,moyen,2198000
Alasora,40,2,interieur,voiture_avec_parking,oui,moyen,1600000
Itaosy,35,1,exterieur,voiture,non,bon,742000
Isoraka,65,2,interieur,moto,non,mauvais,1519000
Itaosy,66,2,interieur,moto,non,moyen,974000
Alasora,83,2,exterieur,sans,non,bon,1366000
Ankatso,79,3,exterieur,voiture_avec_parking,non,moyen,1235000
Ivandry,36,2,interieur,moto,non,moyen,1733000
Isoraka,49,1,interieur,voiture_avec_parking,non,moyen,1944000
Ivandry,52,4,interieur,voiture_avec_parking,oui,moyen,3646000
Ambatoroka,35,2,interieur,voiture,non,bon,1022000
Ivandry,92,2,interieur,moto,oui,moyen,3309000
Alasora,64,2,interieur,voiture,non,bon,1634000
Andavamamba,52,4,interieur,moto,non,bon,984000
Ambatoroka,102,3,interieur,voiture_avec_parking,non,bon,1821000
Isoraka,73,1,exterieur,voiture,non,bon,2119000
Ivandry,62,2,interieur,sans,oui,bon,2965000
Alasora,55,2,interieur,moto,non,bon,1272000
Mahamasina,89,1,interieur,moto,non,bon,1526000
Isoraka,110,1,interieur,voiture_avec_parking,oui,moyen,3482000
Ivandry,88,1,exterieur,voiture,non,mauvais,2311000
Isoraka,42,1,exterieur,voiture,non,bon,1798000
Ankatso,44,3,interieur,voiture,non,mauvais,780000
Alasora,25,2,interieur,moto,non,bon,1095000
Isoraka,48,4,interieur,voiture,non,bon,2451000
Ankorondrano,61,1,exterieur,voiture,non,moyen,1835000
Itaosy,68,1,interieur,moto,non,moyen,819000
Ankatso,99,2,exterieur,voiture,non,bon,1258000
Ivandry,15,1,interieur,voiture,oui,bon,2188000
Alasora,41,4,exterieur,moto,non,moyen,1128000
Ankorondrano,110,1,interieur,voiture,non,mauvais,2702000
Ambatoroka,27,2,interieur,voiture_avec_parking,non,moyen,944000
Mahamasina,38,3,exterieur,voiture,oui,moyen,1269000
Analakely,40,3,exterieur,sans,non,bon,1099000
Alasora,64,3,interieur,moto,non,moyen,1136000
Ankatso,44,2,interieur,moto,oui,bon,1114000
Ambatoroka,45,1,interieur,voiture,non,moyen,758000
Isoraka,91,2,interieur,sans,non,bon,2427000
Analakely,48,2,interieur,voiture_avec_parking,oui,moyen,1914000
Ivandry,26,1,interieur,sans,non,bon,1500000
Ivandry,78,2,interieur,moto,non,moyen,2447000
Itaosy,63,1,interieur,moto,non,moyen,697000
Ivandry,58,1,interieur,voiture_avec_parking,oui,moyen,3204000
Andavamamba,72,3,interieur,voiture,non,bon,1185000
Itaosy,69,4,interieur,moto,oui,bon,1361000
Analakely,19,2,interieur,sans,non,mauvais,468000
Mahamasina,57,2,exterieur,sans,non,mauvais,714000
Isoraka,89,1,interieur,voiture,non,bon,2493000
Analakely,76,4,interieur,moto,non,moyen,1762000
Mahamasina,65,3,interieur,voiture,oui,moyen,1752000
Ivandry,53,1,interieur,voiture_avec_parking,non,moyen,2686000
Mahamasina,62,2,exterieur,moto,non,bon,1078000
Ambatoroka,45,4,interieur,voiture,non,moyen,1162000
Ambatoroka,67,3,interieur,voiture,oui,mauvais,1321000
Alasora,45,3,exterieur,voiture,non,moyen,1116000
Ambatoroka,45,3,exterieur,voiture,oui,moyen,1121000
Ambatoroka,47,2,interieur,sans,non,moyen,779000
Ivandry,37,1,interieur,voiture,oui,bon,2619000
Alasora,64,2,interieur,moto,non,bon,1451000
Alasora,65,1,interieur,voiture,non,moyen,1261000
Itaosy,73,3,interieur,voiture,oui,bon,1334000
Itaosy,22,3,interieur,voiture,non,bon,821000
Isoraka,66,3,interieur,moto,non,moyen,1991000
Ankorondrano,65,1,interieur,voiture,non,bon,2403000
Andavamamba,35,1,interieur,voiture,non,bon,641000
Ambatoroka,42,3,interieur,voiture,oui,bon,1418000
Ankatso,48,2,interieur,voiture_avec_parking,non,bon,1155000
Ankorondrano,50,1,interieur,voiture,oui,moyen,2299000
Isoraka,57,2,exterieur,voiture,non,mauvais,1361000
Mahamasina,22,1,interieur,voiture,non,moyen,770000
Analakely,86,1,interieur,moto,non,moyen,1544000
Ivandry,47,3,interieur,voiture,non,bon,2482000
Analakely,77,3,interieur,moto,non,bon,1696000
Isoraka,71,4,interieur,voiture_avec_parking,non,moyen,2617000
Mahamasina,67,1,interieur,voiture,oui,mauvais,1368000
Ivandry,59,2,interieur,moto,oui,moyen,2802000
Alasora,94,1,exterieur,voiture,non,moyen,1574000
Analakely,69,2,exterieur,voiture,non,mauvais,1210000
Analakely,32,1,interieur,voiture_avec_parking,oui,moyen,1746000
Isoraka,71,3,interieur,moto,non,bon,2290000
Analakely,56,1,interieur,sans,oui,mauvais,1243000
Ambatoroka,72,2,interieur,voiture,oui,bon,1694000
Mahamasina,71,1,interieur,voiture,non,bon,1320000
Ankatso,68,2,interieur,sans,non,bon,1094000
Ankatso,81,1,exterieur,voiture,non,bon,967000
Alasora,56,1,exterieur,moto,non,mauvais,624000
Ankorondrano,105,3,interieur,voiture,oui,moyen,3733000
Mahamasina,72,1,exterieur,voiture,non,bon,1278000
Ankatso,68,1,interieur,voiture,non,bon,1052000
Mahamasina,60,1,exterieur,sans,oui,moyen,1081000
Alasora,26,1,exterieur,moto,non,mauvais,501000
Itaosy,56,2,interieur,voiture,non,bon,1142000
Andavamamba,73,1,interieur,moto,oui,moyen,1096000
Isoraka,49,2,exterieur,voiture,non,bon,1797000
Ankatso,91,2,interieur,voiture_avec_parking,oui,moyen,1765000
Alasora,44,1,exterieur,moto,non,moyen,965000
Ankatso,76,2,interieur,voiture,non,bon,1215000
Ambatoroka,109,1,interieur,sans,oui,moyen,1585000
Isoraka,32,2,exterieur,voiture_avec_parking,non,mauvais,1442000
Ivandry,53,2,exterieur,voiture,non,bon,2302000
Ambatoroka,70,2,interieur,sans,non,moyen,978000
Isoraka,45,3,interieur,voiture,non,moyen,1825000
Isoraka,64,2,exterieur,sans,non,moyen,1485000
Mahamasina,97,2,interieur,voiture,oui,moyen,1876000
Ivandry,73,2,interieur,moto,oui,bon,3302000
Ankorondrano,35,1,exterieur,voiture,non,bon,1545000
Ambatoroka,75,1,interieur,voiture,non,moyen,1067000
Ankatso,56,3,interieur,voiture_avec_parking,non,moyen,1112000
Mahamasina,67,3,interieur,voiture,non,mauvais,1321000
Ambatoroka,58,1,interieur,moto,non,bon,1076000
Itaosy,20,2,interieur,voiture,oui,moyen,838000
Andavamamba,60,3,exterieur,moto,oui,bon,902000
Ambatoroka,65,1,exterieur,voiture,oui,bon,1391000
Ankorondrano,54,1,interieur,voiture_avec_parking,oui,bon,3074000
Analakely,147,1,interieur,voiture,oui,bon,2843000
Ankorondrano,43,3,interieur,voiture,non,moyen,2021000
Ankatso,72,2,interieur,voiture_avec_parking,oui,moyen,1432000
Itaosy,23,2,exterieur,moto,non,mauvais,563000
Andavamamba,52,3,exterieur,voiture_avec_parking,non,moyen,752000
Analakely,40,1,interieur,moto,oui,mauvais,1113000
Ambatoroka,91,1,exterieur,moto,non,moyen,983000
Alasora,70,1,interieur,voiture_avec_parking,non,moyen,1532000
Alasora,43,2,exterieur,moto,non,bon,1078000
Alasora,31,1,interieur,moto,non,moyen,881000
Alasora,79,1,exterieur,voiture_avec_parking,non,bon,1802000
Andavamamba,84,4,interieur,voiture,non,mauvais,984000
Ankorondrano,15,1,exterieur,voiture,oui,moyen,1574000
Analakely,84,2,exterieur,voiture,non,bon,1720000
Ambatoroka,49,3,interieur,sans,oui,bon,1196000
Ambatoroka,71,3,interieur,voiture_avec_parking,non,bon,1663000
Ivandry,77,3,interieur,sans,non,bon,2686000
Analakely,51,2,interieur,voiture,non,bon,1673000
Itaosy,72,1,interieur,moto,oui,mauvais,867000
Andavamamba,38,3,interieur,sans,non,mauvais,420000
Ankatso,61,1,interieur,moto,non,moyen,937000
Isoraka,38,1,interieur,moto,oui,bon,1812000
Ivandry,46,2,exterieur,voiture,non,mauvais,1653000
Alasora,55,1,exterieur,moto,non,moyen,901000
Ankorondrano,26,2,interieur,sans,non,moyen,1295000
Itaosy,94,2,interieur,sans,oui,mauvais,1083000
Alasora,64,1,interieur,voiture,oui,bon,1842000
Mahamasina,85,1,interieur,voiture_avec_parking,non,bon,1617000
Ankorondrano,27,2,exterieur,sans,non,moyen,961000
Ambatoroka,56,2,interieur,voiture,non,bon,1181000
Ankorondrano,39,2,interieur,voiture,non,bon,2134000
Ivandry,67,3,interieur,voiture,non,moyen,2712000
Ankorondrano,36,2,interieur,voiture_avec_parking,oui,mauvais,2341000
Isoraka,53,1,interieur,voiture,non,bon,1806000
Andavamamba,70,2,exterieur,voiture_avec_parking,non,bon,1087000
Itaosy,77,1,interieur,voiture,non,mauvais,975000
Ambatoroka,67,2,exterieur,voiture,non,bon,1128000
Ivandry,102,1,exterieur,voiture,non,moyen,2844000
Ankorondrano,42,2,interieur,voiture_avec_parking,oui,moyen,2873000
Ambatoroka,34,3,exterieur,voiture,non,moyen,844000
Analakely,51,1,interieur,moto,non,moyen,956000
Ivandry,26,2,interieur,voiture_avec_parking,non,moyen,2132000
Ambatoroka,77,2,exterieur,moto,non,moyen,897000
Mahamasina,60,2,interieur,voiture,non,bon,1384000
Alasora,71,1,interieur,voiture,oui,bon,1899000
Ankatso,82,2,interieur,voiture,non,mauvais,895000
Ankorondrano,40,1,interieur,voiture,non,bon,1947000
Analakely,45,3,interieur,voiture_avec_parking,non,moyen,1508000
Ambatoroka,106,2,interieur,moto,non,bon,1564000
Ambatoroka,83,2,interieur,voiture_avec_parking,non,bon,1606000
Ankorondrano,56,2,interieur,voiture,oui,moyen,2644000
Isoraka,40,2,exterieur,voiture,non,moyen,1373000
Alasora,53,2,interieur,moto,non,moyen,1080000
Analakely,90,2,interieur,sans,oui,bon,2023000
Itaosy,53,3,interieur,voiture_avec_parking,oui,moyen,1212000
Mahamasina,43,1,interieur,moto,non,bon,1031000
Ivandry,104,1,interieur,voiture,oui,bon,3954000
Ankatso,112,2,interieur,voiture,non,moyen,1556000
Andavamamba,88,2,interieur,moto,non,bon,850000
Mahamasina,92,2,exterieur,voiture,non,mauvais,1282000
Isoraka,99,2,interieur,voiture,non,bon,2751000
Ankatso,68,3,interieur,moto,oui,moyen,1239000
Analakely,72,3,exterieur,moto,non,bon,1560000
Ambatoroka,73,3,interieur,moto,non,moyen,1197000
Ankorondrano,86,2,exterieur,voiture,oui,bon,3123000
Itaosy,95,2,interieur,voiture,non,mauvais,895000
Itaosy,76,1,exterieur,voiture_avec_parking,non,bon,1012000
Ivandry,63,2,interieur,voiture,non,bon,2881000
Ambatoroka,52,3,interieur,moto,non,bon,1035000
Andavamamba,87,2,interieur,voiture,non,moyen,1045000
Alasora,64,1,interieur,voiture,oui,moyen,1674000
Ankatso,64,2,interieur,voiture_avec_parking,non,moyen,986000
Ambatoroka,77,2,interieur,voiture_avec_parking,non,bon,1571000
Andavamamba,76,3,interieur,moto,oui,moyen,1122000
Ivandry,26,1,interieur,voiture,non,mauvais,1322000
Ambatoroka,49,3,exterieur,voiture_avec_parking,non,moyen,1208000
Itaosy,89,2,interieur,sans,non,bon,1195000
Itaosy,78,2,interieur,moto,non,moyen,912000
Itaosy,75,1,interieur,voiture_avec_parking,non,bon,1187000
Andavamamba,80,2,exterieur,moto,non,bon,840000
Ambatoroka,78,2,interieur,voiture,non,bon,1393000
Ankatso,28,1,interieur,moto,non,moyen,534000
Itaosy,49,1,interieur,moto,oui,moyen,721000
Ivandry,27,2,interieur,moto,non,bon,1760000
Andavamamba,81,3,interieur,voiture,non,bon,1067000
Ambatoroka,57,1,exterieur,sans,non,bon,788000
Alasora,105,3,exterieur,voiture_avec_parking,non,moyen,1937000
Isoraka,81,3,interieur,voiture,non,bon,2709000
Analakely,52,2,interieur,voiture,non,mauvais,1336000
Ankorondrano,61,1,exterieur,voiture_avec_parking,non,bon,2508000
Mahamasina,54,2,exterieur,voiture,non,mauvais,1011000
Andavamamba,106,1,interieur,voiture,non,bon,1122000
Ambatoroka,72,3,interieur,voiture_avec_parking,oui,bon,2061000
Mahamasina,116,2,interieur,sans,non,bon,1832000
Ivandry,15,1,interieur,voiture,non,bon,1577000
Ankorondrano,43,2,interieur,voiture,non,moyen,2037000
Mahamasina,108,1,exterieur,voiture,non,moyen,1422000
Itaosy,32,2,interieur,voiture,oui,moyen,785000
Ambatoroka,40,2,interieur,voiture,non,mauvais,879000
Ankorondrano,98,3,interieur,voiture,oui,moyen,3509000
Isoraka,24,1,interieur,voiture,oui,bon,1804000
Isoraka,43,2,exterieur,moto,non,moyen,1313000
Mahamasina,81,1,interieur,voiture,non,mauvais,1147000
Ankorondrano,15,3,interieur,voiture_avec_parking,non,bon,2243000
Itaosy,81,1,interieur,voiture_avec_parking,non,mauvais,992000
Mahamasina,77,2,interieur,voiture_avec_parking,non,moyen,1462000
Ankorondrano,66,2,interieur,moto,oui,bon,2948000
Ankorondrano,57,2,interieur,voiture,oui,bon,2966000
Ambatoroka,101,1,exterieur,voiture,non,moyen,1274000
Ivandry,27,2,interieur,voiture,non,bon,1908000
Alasora,19,1,interieur,moto,oui,moyen,1120000
Itaosy,65,1,interieur,voiture_avec_parking,non,bon,1006000
Isoraka,34,2,exterieur,moto,oui,moyen,1633000
Andavamamba,112,2,interieur,voiture_avec_parking,non,mauvais,1014000
Alasora,45,1,interieur,sans,non,bon,1005000
Alasora,64,1,exterieur,voiture_avec_parking,non,bon,1576000
Itaosy,30,2,exterieur,moto,non,moyen,453000
Mahamasina,53,2,interieur,moto,oui,moyen,1358000
Ankorondrano,68,4,interieur,voiture,non,bon,2958000
Ambatoroka,61,1,interieur,voiture,oui,moyen,1220000
Analakely,77,1,interieur,voiture_avec_parking,non,moyen,1622000
Ambatoroka,42,3,interieur,voiture,oui,bon,1376000
Ivandry,48,2,exterieur,moto,oui,moyen,2178000
Itaosy,67,3,exterieur,moto,non,mauvais,708000
Analakely,22,1,interieur,moto,non,bon,863000
Ankatso,93,1,exterieur,voiture,non,bon,1228000
Ivandry,60,3,interieur,moto,non,bon,2627000
Itaosy,65,2,interieur,moto,non,moyen,866000
Mahamasina,52,1,interieur,voiture,non,mauvais,895000
Ankatso,25,2,interieur,moto,non,bon,621000
Ankatso,52,1,exterieur,voiture_avec_parking,oui,bon,1335000
Ankatso,101,2,exterieur,voiture_avec_parking,non,bon,1478000
Ankatso,56,2,interieur,sans,non,bon,919000
Mahamasina,49,1,interieur,voiture,non,moyen,1118000
Mahamasina,16,2,interieur,moto,non,bon,740000
Ambatoroka,61,1,interieur,moto,oui,bon,1203000
Mahamasina,81,1,interieur,moto,non,bon,1090000
Analakely,50,4,interieur,moto,oui,bon,1858000
Andavamamba,55,2,interieur,moto,non,moyen,803000
Mahamasina,38,2,exterieur,moto,oui,bon,1128000
Mahamasina,67,2,interieur,voiture,oui,bon,1750000
Mahamasina,112,1,interieur,voiture_avec_parking,oui,mauvais,2036000
Analakely,48,1,exterieur,voiture,non,mauvais,841000
